id;lang;title;content;image;image_content_type
1;DE;Plastic bandwidth Metrics;primary magnetic;../fake-data/blob/hipster.png;image/png
2;EN;convergence Granite;connect Bedfordshire;../fake-data/blob/hipster.png;image/png
3;EN;Unbranded Berkshire Legacy;Consultant Account system;../fake-data/blob/hipster.png;image/png
4;DE;schemas redundant;Metal index District;../fake-data/blob/hipster.png;image/png
5;DE;Toys;Minnesota;../fake-data/blob/hipster.png;image/png
6;FR;system;Baby Grocery Ergonomic;../fake-data/blob/hipster.png;image/png
7;FR;Computers Soap Buckinghamshire;object-oriented silver Rubber;../fake-data/blob/hipster.png;image/png
8;EN;EXE;Mews open-source Consultant;../fake-data/blob/hipster.png;image/png
9;DE;TCP Berkshire RSS;solid;../fake-data/blob/hipster.png;image/png
10;EN;visualize;Plastic firewall turquoise;../fake-data/blob/hipster.png;image/png
