id;lang;title;content;image;image_content_type
1;EN;program;Georgia Nebraska emulation;../fake-data/blob/hipster.png;image/png
2;FR;Avon;utilize;../fake-data/blob/hipster.png;image/png
3;EN;Sandwich mindshare;zero;../fake-data/blob/hipster.png;image/png
4;FR;hub backing;proactive Beauty Integrated;../fake-data/blob/hipster.png;image/png
5;EN;implement Kwanza deposit;specifically Fords;../fake-data/blob/hipster.png;image/png
6;DE;orange alarm;Concrete;../fake-data/blob/hipster.png;image/png
7;EN;invoice RAM Practical;explicit;../fake-data/blob/hipster.png;image/png
8;FR;Licensed;Cotton deposit Implementation;../fake-data/blob/hipster.png;image/png
9;FR;Mouse primary;Lane withdrawal best-of-breed;../fake-data/blob/hipster.png;image/png
10;DE;Global;Steel HTTP structure;../fake-data/blob/hipster.png;image/png
