id;lang;title;content;image;image_content_type
1;DE;Square dot-com Leone;Pants;../fake-data/blob/hipster.png;image/png
2;EN;JSON Dynamic Avon;white;../fake-data/blob/hipster.png;image/png
3;EN;capacity multi-byte throughput;synthesizing;../fake-data/blob/hipster.png;image/png
4;FR;Engineer plum;Caribbean Automated;../fake-data/blob/hipster.png;image/png
5;EN;Club Games;network;../fake-data/blob/hipster.png;image/png
6;EN;Berkshire Baby;Cape Sleek;../fake-data/blob/hipster.png;image/png
7;EN;Rubber;SMS;../fake-data/blob/hipster.png;image/png
8;EN;metrics calculating;Architect;../fake-data/blob/hipster.png;image/png
9;FR;24/7 system payment;Australian Granite;../fake-data/blob/hipster.png;image/png
10;FR;GB Practical;Plastic override;../fake-data/blob/hipster.png;image/png
