id;lang;title;content;image;image_content_type
1;DE;Factors Borders;salmon web-enabled;../fake-data/blob/hipster.png;image/png
2;EN;payment;withdrawal Usability withdrawal;../fake-data/blob/hipster.png;image/png
3;FR;Won Account Program;neural Granite sticky;../fake-data/blob/hipster.png;image/png
4;DE;convergence;groupware;../fake-data/blob/hipster.png;image/png
5;EN;Fully-configurable cyan Account;input;../fake-data/blob/hipster.png;image/png
6;DE;Corporate;Avon;../fake-data/blob/hipster.png;image/png
7;EN;Checking Reactive Orchestrator;Palau white;../fake-data/blob/hipster.png;image/png
8;DE;District Games;systemic Assurance;../fake-data/blob/hipster.png;image/png
9;DE;indexing Salad enable;generate;../fake-data/blob/hipster.png;image/png
10;FR;yellow AGP;Dynamic Director maroon;../fake-data/blob/hipster.png;image/png
