id;lang;title;content;image;image_content_type
1;DE;navigate FTP;conglomeration;../fake-data/blob/hipster.png;image/png
2;EN;Card e-commerce Operations;Islands ADP Computers;../fake-data/blob/hipster.png;image/png
3;EN;Camp programming Account;application Account Barthelemy;../fake-data/blob/hipster.png;image/png
4;EN;Mouse;Investment;../fake-data/blob/hipster.png;image/png
5;EN;circuit;Organized Books;../fake-data/blob/hipster.png;image/png
6;DE;Armenia Fresh;vertical plug-and-play;../fake-data/blob/hipster.png;image/png
7;EN;object-oriented Cotton Optimized;back;../fake-data/blob/hipster.png;image/png
8;DE;HTTP;Account;../fake-data/blob/hipster.png;image/png
9;DE;Account bandwidth-monitored;edge virtual collaboration;../fake-data/blob/hipster.png;image/png
10;FR;Versatile TCP Alley;bottom-line;../fake-data/blob/hipster.png;image/png
