id;lang;title;content;image;image_content_type
1;DE;Montana deposit Automotive;Market Practical Coordinator;../fake-data/blob/hipster.png;image/png
2;DE;Associate ADP Practical;Loan Security bus;../fake-data/blob/hipster.png;image/png
3;EN;tan Frozen;RAM monitor;../fake-data/blob/hipster.png;image/png
4;FR;Towels Market;quantify contingency;../fake-data/blob/hipster.png;image/png
5;DE;Wisconsin sticky payment;Hampshire wireless Account;../fake-data/blob/hipster.png;image/png
6;DE;exuding neural;Bedfordshire Enterprise-wide;../fake-data/blob/hipster.png;image/png
7;EN;compress Credit Refined;evolve Cotton;../fake-data/blob/hipster.png;image/png
8;DE;one-to-one calculating;application Bedfordshire Direct;../fake-data/blob/hipster.png;image/png
9;DE;Card National AGP;calculating Manager;../fake-data/blob/hipster.png;image/png
10;FR;quantify;visualize;../fake-data/blob/hipster.png;image/png
